page,code,text,text_uk,text_en,text_ru
index,index_feel,Відчуй переваги професіоналів,Відчуй переваги професіоналів,Benefit Professionals,Почувствуй преимущества профессионалов
general,review,Поділіться своїм досвідом користуванням нашим товаром та оцінінь його!,Поділіться своїм досвідом користуванням нашим товаром та оцінінь його!,Share your experience with our product and otsinin it!,Поделитесь своим опытом пользованием нашим товаром и оцининь его!
order,step3,Крок 3. Оплата,Крок 3. Оплата,Step 3. Payment,Шаг 3. Оплата
order,step2,Крок 2. Спосіб доставки,Крок 2. Спосіб доставки,Step 2. Shipping Method,Шаг 2. Способ доставки
order,step1,Крок 1. Контактні дані,Крок 1. Контактні дані,Step 1: Contact Information,Шаг 1. Контактные данные
order,order_order,Оформлення замовлення,Оформлення замовлення,ordering,оформление заказа
profile,cabinet,Особистий кабінет,Особистий кабінет,Personal office,Личный кабинет
search,search_results,Результати пошуку,Результати пошуку,Search Results,результаты поиска
shop,shop_shop,Магазин,Магазин,Shop,магазин
test_drive,test_drive_test_drive,Тест-драйв,Тест-драйв,Test Drive,Тест-драйв
footer,footer_all_rights,Всі права захищено,Всі права захищено,all rights reserved,Все права защищены
header,header_faq,Часті питання,Часті питання,Frequently Asked questions,Часто задаваемые вопросы
header,header_about,Про нас,Про нас,About us,О нас
about,about_message,Повідомлення,Повідомлення,Message,сообщение
about,about_email,Email,Email,Email,Email
about,about_phone,Телефон,Телефон,Phone,Телефон
about,about_name,Ім'я,Ім'я,Name,имя
about,our_partners,Партнери,Партнери,Partners,партнеры
about,certs,Сертифікати,Сертифікати,Certifications,сертификаты
about,about_us,Про нас,Про нас,About us,О нас
header,text1,"Тест-драйв","Тест-драйв","Тест-драйв","Тест-драйв"
header,text2,"Записатить на тест-драйв","Записатить на тест-драйв","Записатить на тест-драйв","Записатить на тест-драйв"
header,text3,"Записатись","Записатись","Записатись","Записатись"
header,text4,"Конструктор Велосипедів","Конструктор Велосипедів","Конструктор Велосипедів","Конструктор Велосипедів"
header,text5,"Почати","Почати","Почати","Почати"
header,text6,"Тест-драйв","Тест-драйв","Тест-драйв","Тест-драйв"
header,text7,"Конструктор Велосипедів","Конструктор Велосипедів","Конструктор Велосипедів","Конструктор Велосипедів"
header,text8,"Пошук","Пошук","Пошук","Пошук"
header,text9,"Що шукаєте?","Що шукаєте?","Що шукаєте?","Що шукаєте?"
header,text10,"Шукати","Шукати","Шукати","Шукати"
footer,text11,"Пн. - Пт.: 09:00 - 18:00","Пн. - Пт.: 09:00 - 18:00","Пн. - Пт.: 09:00 - 18:00","Пн. - Пт.: 09:00 - 18:00"
footer,text12,"Клієнтам","Клієнтам","Клієнтам","Клієнтам"
footer,text13,"Про нас","Про нас","Про нас","Про нас"
footer,text14,"Часті питання","Часті питання","Часті питання","Часті питання"
footer,text15,"Доставка і оплата","Доставка і оплата","Доставка і оплата","Доставка і оплата"
footer,text16,"Тест-драйв","Тест-драйв","Тест-драйв","Тест-драйв"
footer,text17,"Конструктор","Конструктор","Конструктор","Конструктор"
footer,text18,"Магазин","Магазин","Магазин","Магазин"
footer,text19,"Зв’язок","Зв’язок","Зв’язок","Зв’язок"
footer,text20,"Ім'я","Ім'я","Ім'я","Ім'я"
footer,text21,"Повідомлення","Повідомлення","Повідомлення","Повідомлення"
footer,text22,"Відправити","Відправити","Відправити","Відправити"
footer,text23,"Розробка","Розробка","Розробка","Розробка"
page_404,text24,"Такої сторінки не знайдено","Такої сторінки не знайдено","Такої сторінки не знайдено","Такої сторінки не знайдено"
page_404,text25,"Поверніться на головну або перегляньте асортимент наших товарів","Поверніться на головну або перегляньте асортимент наших товарів","Поверніться на головну або перегляньте асортимент наших товарів","Поверніться на головну або перегляньте асортимент наших товарів"
page_404,text26,"Магазин","Магазин","Магазин","Магазин"
delivery,text27,"Оплата і доставка","Оплата і доставка","Оплата і доставка","Оплата і доставка"
delivery,text28,"Спосіб оплати товару і послуг для клієнтів з України:","Спосіб оплати товару і послуг для клієнтів з України:","Спосіб оплати товару і послуг для клієнтів з України:","Спосіб оплати товару і послуг для клієнтів з України:"
delivery,text29,"Готівковий розрахунок (при отриманні замовлення в офісі)","Готівковий розрахунок (при отриманні замовлення в офісі)","Готівковий розрахунок (при отриманні замовлення в офісі)","Готівковий розрахунок (при отриманні замовлення в офісі)"
delivery,text30,"Перерахування на картку Visa через інтернет банкінг","Перерахування на картку Visa через інтернет банкінг","Перерахування на картку Visa через інтернет банкінг","Перерахування на картку Visa через інтернет банкінг"
delivery,text31,"Оплата готівкою на картку Visa через термінал поповнення","Оплата готівкою на картку Visa через термінал поповнення","Оплата готівкою на картку Visa через термінал поповнення","Оплата готівкою на картку Visa через термінал поповнення"
delivery,text32,"Оплата післяплатою, при отриманні в транспортних компаніях: «Нова пошта» (при виборі цього способу оплати клієнт оплачує авансом вартість пересилки)","Оплата післяплатою, при отриманні в транспортних компаніях: «Нова пошта» (при виборі цього способу оплати клієнт оплачує авансом вартість пересилки)","Оплата післяплатою, при отриманні в транспортних компаніях: «Нова пошта» (при виборі цього способу оплати клієнт оплачує авансом вартість пересилки)","Оплата післяплатою, при отриманні в транспортних компаніях: «Нова пошта» (при виборі цього способу оплати клієнт оплачує авансом вартість пересилки)"
delivery,text33,"Перерахування на розрахунковий рахунок","Перерахування на розрахунковий рахунок","Перерахування на розрахунковий рахунок","Перерахування на розрахунковий рахунок"
delivery,text34,"Способи оплати товару для клієнтів з інших країн:","Способи оплати товару для клієнтів з інших країн:","Способи оплати товару для клієнтів з інших країн:","Способи оплати товару для клієнтів з інших країн:"
delivery,text35,"Грошовий переказ за системою Western Union (www.westernunion.ru)","Грошовий переказ за системою Western Union (www.westernunion.ru)","Грошовий переказ за системою Western Union (www.westernunion.ru)","Грошовий переказ за системою Western Union (www.westernunion.ru)"
delivery,text36,"Грошовий переказ за системою “Золотая корона” (www.perevod-korona.com)","Грошовий переказ за системою “Золотая корона” (www.perevod-korona.com)","Грошовий переказ за системою “Золотая корона” (www.perevod-korona.com)","Грошовий переказ за системою “Золотая корона” (www.perevod-korona.com)"
delivery,text37,"Доставка по Україні.","Доставка по Україні.","Доставка по Україні.","Доставка по Україні."
delivery,text38,"Товар доставляється в будь-який регіон України транспортної компанії за 1-4 дня, через транспортні компанії «Нова пошта», «Автолюкс», «Делівері”, “Інтайм”, “САТ”,. Вартість доставки оплачує покупець.","Товар доставляється в будь-який регіон України транспортної компанії за 1-4 дня, через транспортні компанії «Нова пошта», «Автолюкс», «Делівері”, “Інтайм”, “САТ”,. Вартість доставки оплачує покупець.","Товар доставляється в будь-який регіон України транспортної компанії за 1-4 дня, через транспортні компанії «Нова пошта», «Автолюкс», «Делівері”, “Інтайм”, “САТ”,. Вартість доставки оплачує покупець.","Товар доставляється в будь-який регіон України транспортної компанії за 1-4 дня, через транспортні компанії «Нова пошта», «Автолюкс», «Делівері”, “Інтайм”, “САТ”,. Вартість доставки оплачує покупець."
delivery,text39,"Доставка товару по місту Тернопіль – безкоштовна.","Доставка товару по місту Тернопіль – безкоштовна.","Доставка товару по місту Тернопіль – безкоштовна.","Доставка товару по місту Тернопіль – безкоштовна."
delivery,text40,"Міжнародна доставка.","Міжнародна доставка.","Міжнародна доставка.","Міжнародна доставка."
delivery,text41,"Товар доставляється в будь-яку країну, «EMS» «DHL»","Товар доставляється в будь-яку країну, «EMS» «DHL»","Товар доставляється в будь-яку країну, «EMS» «DHL»","Товар доставляється в будь-яку країну, «EMS» «DHL»"
delivery,text42,"Доставка в Росію за допомогою транспортною компанією (Деловие лінії)","Доставка в Росію за допомогою транспортною компанією (Деловие лінії)","Доставка в Росію за допомогою транспортною компанією (Деловие лінії)","Доставка в Росію за допомогою транспортною компанією (Деловие лінії)"
delivery,text43,"Вартість доставки оплачує покупець.","Вартість доставки оплачує покупець.","Вартість доставки оплачує покупець.","Вартість доставки оплачує покупець."
delivery,text44,"Ми зацікавлені в тому, щоб товари, придбані в нас задовольняли Ваші потреби найкращим чином, тому, рекомендуємо перед замовленням обговорити плановану покупку з менеджером, по телефонів, зазначених на головній сторінці сайті. Також, менеджер може передзвонити на вказаний Вами номер телефону (в межах України)","Ми зацікавлені в тому, щоб товари, придбані в нас задовольняли Ваші потреби найкращим чином, тому, рекомендуємо перед замовленням обговорити плановану покупку з менеджером, по телефонів, зазначених на головній сторінці сайті. Також, менеджер може передзвонити на вказаний Вами номер телефону (в межах України)","Ми зацікавлені в тому, щоб товари, придбані в нас задовольняли Ваші потреби найкращим чином, тому, рекомендуємо перед замовленням обговорити плановану покупку з менеджером, по телефонів, зазначених на головній сторінці сайті. Також, менеджер може передзвонити на вказаний Вами номер телефону (в межах України)","Ми зацікавлені в тому, щоб товари, придбані в нас задовольняли Ваші потреби найкращим чином, тому, рекомендуємо перед замовленням обговорити плановану покупку з менеджером, по телефонів, зазначених на головній сторінці сайті. Також, менеджер може передзвонити на вказаний Вами номер телефону (в межах України)"
delivery,text45,"Якщо Задаються технічні питання, виходять за межі компетенції менеджера, Вас проконсультує фахівець служби техпідтримки.","Якщо Задаються технічні питання, виходять за межі компетенції менеджера, Вас проконсультує фахівець служби техпідтримки.","Якщо Задаються технічні питання, виходять за межі компетенції менеджера, Вас проконсультує фахівець служби техпідтримки.","Якщо Задаються технічні питання, виходять за межі компетенції менеджера, Вас проконсультує фахівець служби техпідтримки."
delivery,text46,"Для того, щоб виключити можливі претензії і непорозуміння, процес перевірки компонентів або вироби, а також їх упаковки, знімається на фото. Фотофайли зберігається не менше 1 місяця з моменту відправлення товару. Це дозволяє оперативно і об’єктивно розглядати претензії, які можуть виникнути в момент отримання товару, наприклад, – при недостатньо дбайливого транспортуванні.","Для того, щоб виключити можливі претензії і непорозуміння, процес перевірки компонентів або вироби, а також їх упаковки, знімається на фото. Фотофайли зберігається не менше 1 місяця з моменту відправлення товару. Це дозволяє оперативно і об’єктивно розглядати претензії, які можуть виникнути в момент отримання товару, наприклад, – при недостатньо дбайливого транспортуванні.","Для того, щоб виключити можливі претензії і непорозуміння, процес перевірки компонентів або вироби, а також їх упаковки, знімається на фото. Фотофайли зберігається не менше 1 місяця з моменту відправлення товару. Це дозволяє оперативно і об’єктивно розглядати претензії, які можуть виникнути в момент отримання товару, наприклад, – при недостатньо дбайливого транспортуванні.","Для того, щоб виключити можливі претензії і непорозуміння, процес перевірки компонентів або вироби, а також їх упаковки, знімається на фото. Фотофайли зберігається не менше 1 місяця з моменту відправлення товару. Це дозволяє оперативно і об’єктивно розглядати претензії, які можуть виникнути в момент отримання товару, наприклад, – при недостатньо дбайливого транспортуванні."
delivery,text47,"Після відправки, менеджер повідомляє клієнтові номер декларації для отримання товару на транспортної компанії, у клієнта виникнуть питання по збірці або експлуатації виробу, – відповіді на них дадуть фахівці служби техпідтримки.","Після відправки, менеджер повідомляє клієнтові номер декларації для отримання товару на транспортної компанії, у клієнта виникнуть питання по збірці або експлуатації виробу, – відповіді на них дадуть фахівці служби техпідтримки.","Після відправки, менеджер повідомляє клієнтові номер декларації для отримання товару на транспортної компанії, у клієнта виникнуть питання по збірці або експлуатації виробу, – відповіді на них дадуть фахівці служби техпідтримки.","Після відправки, менеджер повідомляє клієнтові номер декларації для отримання товару на транспортної компанії, у клієнта виникнуть питання по збірці або експлуатації виробу, – відповіді на них дадуть фахівці служби техпідтримки."
delivery,text48,"Зверніть увагу!","Зверніть увагу!","Зверніть увагу!","Зверніть увагу!"
delivery,text49,"При отриманні замовлення від кур’єра або на складі транспортної служби, покупець зобов’язаний у присутності співробітника кур’єрської служби розкрити посилку і перевірити вміст. У разі, якщо покупець не перевірив товар при отриманні, подальші претензії з приводу механічних пошкоджень або неправильної комплектації не приймаються.","При отриманні замовлення від кур’єра або на складі транспортної служби, покупець зобов’язаний у присутності співробітника кур’єрської служби розкрити посилку і перевірити вміст. У разі, якщо покупець не перевірив товар при отриманні, подальші претензії з приводу механічних пошкоджень або неправильної комплектації не приймаються.","При отриманні замовлення від кур’єра або на складі транспортної служби, покупець зобов’язаний у присутності співробітника кур’єрської служби розкрити посилку і перевірити вміст. У разі, якщо покупець не перевірив товар при отриманні, подальші претензії з приводу механічних пошкоджень або неправильної комплектації не приймаються.","При отриманні замовлення від кур’єра або на складі транспортної служби, покупець зобов’язаний у присутності співробітника кур’єрської служби розкрити посилку і перевірити вміст. У разі, якщо покупець не перевірив товар при отриманні, подальші претензії з приводу механічних пошкоджень або неправильної комплектації не приймаються."
faq,text50,"Питання та відповіді","Питання та відповіді","Питання та відповіді","Питання та відповіді"
item,text51,"Показати в 3Д","Показати в 3Д","Показати в 3Д","Показати в 3Д"
item,text52,"Інфорація про товар","Інфорація про товар","Інфорація про товар","Інфорація про товар"
item,text53,"Купити","Купити","Купити","Купити"
item,text54,"Швидка покупка","Швидка покупка","Швидка покупка","Швидка покупка"
item,text55,"Виробник","Виробник","Виробник","Виробник"
item,text56,"Бренд","Бренд","Бренд","Бренд"
item,text57,"Відгуки","Відгуки","Відгуки","Відгуки"
item_category,text58,"Ціна","Ціна","Ціна","Ціна"
item_category,text59,"Головна","Головна","Головна","Головна"
item_category,text60,"Магазин","Магазин","Магазин","Магазин"
item_category,text61,"Більше товарів","Більше товарів","Більше товарів","Більше товарів"
item_category,text62,"В даній категорії немає товарів!","В даній категорії немає товарів!","В даній категорії немає товарів!","В даній категорії немає товарів!"
thank_you,text63,"Дякуємо за покупку! <br> Менеджер скоро з вами звяжеться!","Дякуємо за покупку! <br> Менеджер скоро з вами звяжеться!","Дякуємо за покупку! <br> Менеджер скоро з вами звяжеться!","Дякуємо за покупку! <br> Менеджер скоро з вами звяжеться!"
test_drive,text64,"Ім'я","Ім'я","Ім'я","Ім'я"
test_drive,text65,"Телефон","Телефон","Телефон","Телефон"
test_drive,text66,"Модель велосипеда","Модель велосипеда","Модель велосипеда","Модель велосипеда"
test_drive,text67,"Повідомлення","Повідомлення","Повідомлення","Повідомлення"
test_drive,text68,"Замовити","Замовити","Замовити","Замовити"
basket,text69,"Корзина","Корзина","Корзина","Корзина"
basket,text70,"Всього","Всього","Всього","Всього"
basket,text71,"Знижка","Знижка","Знижка","Знижка"
basket,text72,"Замовити","Замовити","Замовити","Замовити"
basket,text73,"Замовити","Замовити","Замовити","Замовити"
general,text74,"Ваші дані успішно змінені","Ваші дані успішно змінені","Ваші дані успішно змінені","Ваші дані успішно змінені"
general,text75,"Дякуємо, заявка опрацьована <br>Наші менеджери звяжуться з Вами","Дякуємо, заявка опрацьована <br>Наші менеджери звяжуться з Вами","Дякуємо, заявка опрацьована <br>Наші менеджери звяжуться з Вами","Дякуємо, заявка опрацьована <br>Наші менеджери звяжуться з Вами"
general,text76,"Ім'я","Ім'я","Ім'я","Ім'я"
general,text77,"Телефон","Телефон","Телефон","Телефон"
general,text78,"Коментар","Коментар","Коментар","Коментар"
general,text79,"Схожі товари","Схожі товари","Схожі товари","Схожі товари"
general,text80,"Додати відгук","Додати відгук","Додати відгук","Додати відгук"
general,text81,"У даного товару ще немає відгуків. Ви можете бути першим.","У даного товару ще немає відгуків. Ви можете бути першим.","У даного товару ще немає відгуків. Ви можете бути першим.","У даного товару ще немає відгуків. Ви можете бути першим."
index,text82,"Тест-драйв","Тест-драйв","Тест-драйв","Тест-драйв"
index,text83,"Детальніше","Детальніше","Детальніше","Детальніше"
index,text84,"Дистанція","Дистанція","Дистанція","Дистанція"
index,text85,"км","км","км","км"
index,text86,"Швидкість","Швидкість","Швидкість","Швидкість"
index,text87,"км/год","км/год","км/год","км/год"
index,text88,"Потужність","Потужність","Потужність","Потужність"
index,text89,"Тривалість заряду","Тривалість заряду","Тривалість заряду","Тривалість заряду"
index,text90,"год","год","год","год"
index,text91,"Дистанція","Дистанція","Дистанція","Дистанція"
index,text92,"Макс. швидкість","Макс. швидкість","Макс. швидкість","Макс. швидкість"
index,text93,"Потужність","Потужність","Потужність","Потужність"
index,text94,"Детальніше","Детальніше","Детальніше","Детальніше"
index,text95,"Детальніше","Детальніше","Детальніше","Детальніше"
profile,text96,"Вийти","Вийти","Вийти","Вийти"
profile,text97,"Історія покупок","Історія покупок","Історія покупок","Історія покупок"
profile,text98,"Програма лояльності","Програма лояльності","Програма лояльності","Програма лояльності"
profile,text99,"Налаштування профілю","Налаштування профілю","Налаштування профілю","Налаштування профілю"
profile,text100,"Фото","Фото","Фото","Фото"
profile,text101,"Назва","Назва","Назва","Назва"
profile,text102,"К-сть","К-сть","К-сть","К-сть"
profile,text103,"Дата","Дата","Дата","Дата"
profile,text104,"Ціна","Ціна","Ціна","Ціна"
profile,text105,"№ заказу","№ заказу","№ заказу","№ заказу"
profile,text106,"Ви ще не зробили ніяких замовлень","Ви ще не зробили ніяких замовлень","Ви ще не зробили ніяких замовлень","Ви ще не зробили ніяких замовлень"
profile,text107,"Назва","Назва","Назва","Назва"
profile,text108,"Знижка","Знижка","Знижка","Знижка"
profile,text109,"Термін дії","Термін дії","Термін дії","Термін дії"
profile,text110,"Дія","Дія","Дія","Дія"
profile,text111,"Ім'я та прізвище","Ім'я та прізвище","Ім'я та прізвище","Ім'я та прізвище"
profile,text112,"Телефон","Телефон","Телефон","Телефон"
profile,text113,"Місто","Місто","Місто","Місто"
profile,text114,"Новий Пароль","Новий Пароль","Новий Пароль","Новий Пароль"
profile,text115,"Повторіть пароль","Повторіть пароль","Повторіть пароль","Повторіть пароль"
order,text116,"Ім'я та прізвище","Ім'я та прізвище","Ім'я та прізвище","Ім'я та прізвище"
order,text117,"Телефон","Телефон","Телефон","Телефон"
order,text118,"Далі","Далі","Далі","Далі"
order,text119,"Доставка від Eleek","Доставка від Eleek","Доставка від Eleek","Доставка від Eleek"
order,text120,"Нова пошта","Нова пошта","Нова пошта","Нова пошта"
order,text121,"Самовивіз з магазину","Самовивіз з магазину","Самовивіз з магазину","Самовивіз з магазину"
order,text122,"Місто","Місто","Місто","Місто"
order,text123,"Номер відділення","Номер відділення","Номер відділення","Номер відділення"
order,text124,"Адреса","Адреса","Адреса","Адреса"
order,text125,"Далі","Далі","Далі","Далі"
order,text126,"Готівка","Готівка","Готівка","Готівка"
order,text127,"Оплата карткою","Оплата карткою","Оплата карткою","Оплата карткою"
general,text128,"Кількість","Кількість","Кількість","Кількість"
general,text129,"Ціна","Ціна","Ціна","Ціна"
general,text130,"Всього","Всього","Всього","Всього"
general,text131,"На даний момент товару немає у наявності, залиште заявку на інформацію про товар","На даний момент товару немає у наявності, залиште заявку на інформацію про товар","На даний момент товару немає у наявності, залиште заявку на інформацію про товар","На даний момент товару немає у наявності, залиште заявку на інформацію про товар"
general,text132,"Ім'я","Ім'я","Ім'я","Ім'я"
general,text133,"Телефон","Телефон","Телефон","Телефон"
general,text134,"Адреса","Адреса","Адреса","Адреса"
general,text135,"Коментар","Коментар","Коментар","Коментар"
general,text136,"Відправити","Відправити","Відправити","Відправити"
general,text137,"Новий відгук","Новий відгук","Новий відгук","Новий відгук"
general,text138,"Ім'я","Ім'я","Ім'я","Ім'я"
general,text139,"Телефон","Телефон","Телефон","Телефон"
general,text140,"Ваша оцінка товару","Ваша оцінка товару","Ваша оцінка товару","Ваша оцінка товару"
general,text141,"Відгук","Відгук","Відгук","Відгук"
general,text142,"Додати відгук","Додати відгук","Додати відгук","Додати відгук"
general,text143,"Швидка покупка","Швидка покупка","Швидка покупка","Швидка покупка"
general,text144,"Ім'я","Ім'я","Ім'я","Ім'я"
general,text145,"Телефон","Телефон","Телефон","Телефон"
general,text146,"Адреса","Адреса","Адреса","Адреса"
general,text147,"Коментар","Коментар","Коментар","Коментар"
general,text148,"Відправити","Відправити","Відправити","Відправити"
register,text149,"Реєстрація","Реєстрація","Реєстрація","Реєстрація"
register,text150,"Логін","Логін","Логін","Логін"
register,text151,"Телефон","Телефон","Телефон","Телефон"
register,text152,"Пароль","Пароль","Пароль","Пароль"
register,text153,"Повторіть пароль","Повторіть пароль","Повторіть пароль","Повторіть пароль"
register,text154,"Вже маєте аккаунт?","Вже маєте аккаунт?","Вже маєте аккаунт?","Вже маєте аккаунт?"
register,text155,"Увійти","Увійти","Увійти","Увійти"
login,text156,"Вхід","Вхід","Вхід","Вхід"
login,text157,"Логін","Логін","Логін","Логін"
login,text158,"Пароль","Пароль","Пароль","Пароль"
login,text159,"Вхід через Google","Вхід через Google","Вхід через Google","Вхід через Google"
login,text160,"Забули пароль?","Забули пароль?","Забули пароль?","Забули пароль?"
login,text161,"Ще не зареєстровані?","Ще не зареєстровані?","Ще не зареєстровані?","Ще не зареєстровані?"
login,text162,"Зареєструватись","Зареєструватись","Зареєструватись","Зареєструватись"
page_code,content_code,"","","",""
page_code,content_code,"","","",""
page_code,content_code,"","","",""
page_code,content_code,"","","",""
page_code,content_code,"","","",""
page_code,content_code,"","","",""
page_code,content_code,"","","",""
page_code,content_code,"","","",""
page_code,content_code,"","","",""
page_code,content_code,"","","",""
page_code,content_code,"","","",""
page_code,content_code,"","","",""
page_code,content_code,"","","",""
page_code,content_code,"","","",""
page_code,content_code,"","","",""
page_code,content_code,"","","",""
page_code,content_code,"","","",""
page_code,content_code,"","","",""
page_code,content_code,"","","",""
page_code,content_code,"","","",""
page_code,content_code,"","","",""
page_code,content_code,"","","",""
page_code,content_code,"","","",""
page_code,content_code,"","","",""
page_code,content_code,"","","",""
page_code,content_code,"","","",""
page_code,content_code,"","","",""
page_code,content_code,"","","",""
page_code,content_code,"","","",""
page_code,content_code,"","","",""
page_code,content_code,"","","",""
page_code,content_code,"","","",""
page_code,content_code,"","","",""
page_code,content_code,"","","",""
